READ,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1006,0.436629,0.42928,0.42364,0.420706,0.420364,0.420775,0.419661,0.414041,0.404787,0.395236,0.389582,0.387938,0.388659,0.389585,0.388531,0.385555,0.37961,0.370577,0.360322,0.350412,0.339765,0.325305,0.3096,0.295255,0.284276,0.277647,0.273631,0.273216,0.277932,0.28718,0.296268,0.305686,0.317616,0.32849,0.334507,0.339269,0.34737,0.354747,0.355273,0.352645,0.353169,0.354227,0.35152,0.351721,0.35541,0.35022,0.336544,0.324991,0.315657,0.301121
1007,0.445511,0.448643,0.454969,0.463997,0.470897,0.475498,0.479924,0.483744,0.484466,0.484907,0.487024,0.486525,0.478963,0.472118,0.467708,0.461643,0.449534,0.43757,0.426994,0.416342,0.40615,0.397319,0.388517,0.378321,0.368732,0.3615,0.356531,0.350921,0.346921,0.346356,0.349755,0.3545,0.356839,0.363437,0.376407,0.392152,0.402761,0.400591,0.3924,0.382888,0.373967,0.365299,0.350507,0.333813,0.320569,0.310953,0.305154,0.304296,0.30704,0.306785
1008,0.533872,0.529281,0.52461,0.519014,0.51347,0.508067,0.503065,0.498279,0.492084,0.48432,0.476309,0.468752,0.458839,0.449776,0.441786,0.435177,0.430397,0.426702,0.424299,0.422148,0.418523,0.41163,0.402589,0.39332,0.386553,0.382352,0.379642,0.377253,0.374344,0.369127,0.363191,0.357859,0.35351,0.346773,0.33965,0.334766,0.331713,0.330517,0.331128,0.332447,0.334625,0.335874,0.334134,0.333353,0.333938,0.336109,0.33942,0.342812,0.346664,0.351634
1101,0.468376,0.467092,0.460389,0.449425,0.437853,0.427016,0.416545,0.408158,0.401975,0.396319,0.389828,0.383936,0.379842,0.37762,0.376925,0.37839,0.382257,0.386739,0.389503,0.388972,0.386315,0.383274,0.379588,0.371847,0.36007,0.347402,0.337644,0.329495,0.32172,0.314992,0.312777,0.316325,0.32216,0.326814,0.329149,0.333487,0.341068,0.34682,0.344318,0.338326,0.334341,0.332309,0.331368,0.334204,0.338619,0.339455,0.333174,0.325904,0.319148,0.312709
1103,0.531879,0.527433,0.523798,0.521796,0.519484,0.510857,0.496231,0.478529,0.458905,0.434911,0.405732,0.38132,0.365027,0.35831,0.36105,0.36949,0.379511,0.388858,0.396034,0.398611,0.399274,0.399528,0.398631,0.395259,0.391698,0.38923,0.383438,0.37266,0.359684,0.345564,0.330953,0.316976,0.304458,0.29424,0.286032,0.27982,0.274816,0.271878,0.271479,0.273609,0.277481,0.284642,0.29413,0.303301,0.311166,0.316936,0.321657,0.324739,0.326657,0.326209
1104,0.379692,0.375105,0.37094,0.366597,0.362256,0.358358,0.354333,0.349106,0.34265,0.335882,0.329901,0.325119,0.321643,0.319612,0.319204,0.320372,0.322526,0.325488,0.328675,0.332322,0.336541,0.341667,0.347393,0.352716,0.356581,0.359545,0.361918,0.36342,0.363885,0.363628,0.362913,0.361692,0.358422,0.353402,0.347632,0.342186,0.337604,0.332732,0.326364,0.318564,0.311829,0.306058,0.300217,0.293492,0.287856,0.28263,0.279478,0.278155,0.279942,0.286496
1106,0.43097,0.419738,0.410272,0.402719,0.396487,0.389487,0.379848,0.368734,0.355492,0.342391,0.329898,0.318761,0.310165,0.303623,0.298723,0.294188,0.290211,0.285838,0.27999,0.27273,0.265135,0.256718,0.247994,0.238755,0.231404,0.226025,0.223185,0.223816,0.228952,0.236994,0.245533,0.254032,0.265592,0.279799,0.291624,0.296473,0.299904,0.303572,0.308074,0.311427,0.315264,0.31722,0.313322,0.30638,0.300755,0.297083,0.294938,0.29285,0.287982,0.28166
1201,0.43329,0.423664,0.415489,0.408015,0.400587,0.391777,0.378304,0.360211,0.341314,0.324015,0.309966,0.301748,0.298036,0.300373,0.305911,0.310634,0.311856,0.310528,0.308849,0.306773,0.3068,0.308145,0.307891,0.308483,0.314839,0.327942,0.350979,0.371763,0.385462,0.395469,0.410284,0.424662,0.429468,0.42951,0.434192,0.444487,0.45717,0.462129,0.461427,0.460673,0.45147,0.435584,0.422672,0.411383,0.390909,0.369292,0.35722,0.353584,0.355866,0.354058
1202,0.380019,0.375442,0.373163,0.374126,0.378066,0.381192,0.383952,0.389573,0.396209,0.401604,0.40643,0.409628,0.411655,0.412965,0.412017,0.408782,0.403548,0.398259,0.388871,0.379202,0.369852,0.359922,0.350575,0.341725,0.33466,0.327977,0.323126,0.321296,0.321498,0.323814,0.328046,0.332072,0.334902,0.335728,0.336217,0.337066,0.337514,0.337606,0.335694,0.332489,0.329657,0.328048,0.326575,0.323815,0.320309,0.317223,0.315949,0.315847,0.316147,0.31732
1300,0.468493,0.46344,0.458678,0.454472,0.450449,0.446373,0.442739,0.439669,0.435594,0.428323,0.41824,0.407569,0.395731,0.38266,0.370041,0.358817,0.349235,0.341546,0.336156,0.333703,0.333919,0.33664,0.34169,0.348393,0.355227,0.362232,0.369437,0.376567,0.382904,0.388543,0.39321,0.397114,0.399715,0.401004,0.400874,0.399551,0.397072,0.393661,0.39071,0.388478,0.386902,0.385476,0.384098,0.381607,0.379235,0.377646,0.376883,0.374646,0.371133,0.367709
2000,0.511912,0.51092,0.511415,0.512415,0.50868,0.501022,0.493083,0.485359,0.476562,0.465798,0.4536,0.441323,0.42923,0.417685,0.40748,0.398583,0.390695,0.38385,0.378009,0.37316,0.36932,0.365856,0.361499,0.356691,0.352135,0.347535,0.342153,0.336309,0.329941,0.322383,0.31464,0.307295,0.301429,0.298378,0.297322,0.296756,0.296831,0.298454,0.301407,0.304393,0.308388,0.313322,0.318911,0.324772,0.330638,0.336136,0.342491,0.350952,0.360081,0.366377
2009,0.476555,0.467686,0.457945,0.44625,0.433182,0.42094,0.409288,0.398087,0.388633,0.382338,0.379802,0.38014,0.382047,0.384733,0.388507,0.392817,0.396475,0.397618,0.396854,0.394815,0.389625,0.380721,0.370856,0.36337,0.360253,0.36059,0.360562,0.358253,0.354947,0.351172,0.346362,0.342105,0.340863,0.342665,0.346083,0.353714,0.366146,0.382174,0.39805,0.406613,0.410715,0.418128,0.428416,0.438261,0.442129,0.441939,0.440392,0.435964,0.428886,0.419111
2010,0.470866,0.470264,0.468017,0.464242,0.460286,0.456111,0.451113,0.445946,0.440897,0.435909,0.43057,0.424728,0.419154,0.414175,0.409405,0.404115,0.397995,0.391057,0.383911,0.376622,0.368624,0.360644,0.353401,0.348003,0.34324,0.339414,0.336773,0.335582,0.336562,0.33966,0.344131,0.349703,0.355927,0.361318,0.364965,0.369098,0.373435,0.376997,0.377729,0.376569,0.375148,0.373382,0.369993,0.364864,0.358229,0.350644,0.342285,0.333085,0.324285,0.316781
2047,0.426912,0.433217,0.441385,0.447742,0.45281,0.456033,0.454655,0.450141,0.44537,0.440908,0.435048,0.427298,0.418902,0.409539,0.399867,0.391367,0.383734,0.376129,0.366974,0.353415,0.337722,0.323534,0.313196,0.307978,0.307908,0.312067,0.313186,0.311424,0.311389,0.314184,0.315742,0.309721,0.303515,0.303315,0.310276,0.317547,0.322617,0.330254,0.338302,0.343042,0.340491,0.338933,0.340758,0.342948,0.342185,0.34096,0.340621,0.339833,0.339043,0.337979
2087,0.407004,0.407868,0.408399,0.408,0.407835,0.408223,0.409415,0.411769,0.414366,0.416752,0.418918,0.419877,0.419549,0.418945,0.41765,0.414919,0.411125,0.405762,0.398881,0.391139,0.383743,0.375975,0.367774,0.358112,0.347715,0.338176,0.330028,0.323707,0.31879,0.314703,0.311241,0.30885,0.308652,0.310982,0.315151,0.32042,0.322588,0.322995,0.322356,0.320481,0.317371,0.311689,0.304919,0.297933,0.291383,0.283495,0.276131,0.26945,0.265338,0.264671
2089,0.332977,0.331659,0.332292,0.332539,0.329467,0.327052,0.327087,0.327421,0.327828,0.331649,0.335883,0.336871,0.339927,0.344773,0.337588,0.325,0.3148,0.304203,0.295738,0.291603,0.291614,0.290147,0.282831,0.272356,0.261297,0.253217,0.251225,0.255818,0.263114,0.269211,0.272273,0.276019,0.28267,0.290415,0.297133,0.301706,0.304545,0.307314,0.311567,0.314538,0.3159,0.317399,0.318108,0.314929,0.307889,0.299231,0.289503,0.279976,0.272768,0.270033
2100,0.444371,0.445055,0.445283,0.442547,0.434368,0.425108,0.416892,0.409199,0.399413,0.388808,0.37827,0.368371,0.36003,0.353856,0.349008,0.344904,0.34092,0.337405,0.336001,0.336887,0.33972,0.34266,0.344864,0.346519,0.347356,0.347848,0.347723,0.346488,0.345061,0.343704,0.342148,0.3393,0.334995,0.329101,0.323018,0.317342,0.311448,0.305756,0.301132,0.297459,0.293337,0.288311,0.28288,0.277771,0.272113,0.264719,0.255062,0.245679,0.238172,0.232382
2155,0.527603,0.516515,0.50762,0.500676,0.495578,0.489819,0.483634,0.478741,0.474881,0.470708,0.466988,0.463613,0.460926,0.459204,0.458371,0.458552,0.461471,0.468139,0.477518,0.487292,0.493775,0.49479,0.492171,0.488322,0.480543,0.469002,0.456726,0.446184,0.436903,0.428275,0.421374,0.415951,0.40989,0.402363,0.393635,0.38388,0.374428,0.365272,0.355445,0.345514,0.336227,0.32764,0.3193,0.312012,0.308164,0.309576,0.313953,0.320915,0.328989,0.337814
2159,0.431612,0.422362,0.4044,0.38965,0.370915,0.357637,0.354822,0.342349,0.324147,0.309223,0.300491,0.29999,0.301009,0.297631,0.292612,0.283784,0.273211,0.272649,0.27525,0.270854,0.262977,0.251563,0.240252,0.23501,0.240102,0.24803,0.253082,0.258705,0.269773,0.282053,0.292787,0.298148,0.299187,0.302287,0.312782,0.33024,0.350502,0.366191,0.375355,0.386167,0.396364,0.400251,0.41138,0.430808,0.440072,0.437605,0.423011,0.40039,0.376938,0.355715
2192,0.438196,0.430721,0.421746,0.416109,0.416836,0.421884,0.427792,0.431251,0.432502,0.434292,0.434388,0.428548,0.419103,0.412789,0.41134,0.414936,0.422552,0.431547,0.440029,0.444134,0.442233,0.438284,0.433904,0.427792,0.419527,0.410872,0.403368,0.394576,0.380691,0.365718,0.353148,0.342731,0.333436,0.327521,0.325938,0.326809,0.324105,0.318264,0.312997,0.309798,0.305641,0.300818,0.297925,0.298547,0.300703,0.302112,0.30289,0.304763,0.308433,0.311396
2239,0.427877,0.412158,0.397263,0.383369,0.373634,0.37326,0.37613,0.38085,0.386134,0.388381,0.390941,0.394976,0.396729,0.397401,0.401004,0.406417,0.403231,0.398035,0.393435,0.38913,0.383949,0.377907,0.371426,0.356426,0.332872,0.308542,0.284195,0.265074,0.249684,0.236984,0.229052,0.228224,0.229239,0.230902,0.225696,0.217399,0.210012,0.202716,0.192789,0.18224,0.171519,0.16316,0.160715,0.162548,0.167015,0.174212,0.187294,0.207708,0.236584,0.261609
2250,0.532376,0.524494,0.516617,0.508497,0.500066,0.491378,0.482284,0.472164,0.462353,0.453437,0.444962,0.435895,0.426795,0.417862,0.408988,0.399794,0.389743,0.378702,0.367148,0.354715,0.342575,0.331598,0.321751,0.313019,0.305491,0.299837,0.295351,0.291605,0.289047,0.287399,0.286504,0.286269,0.287066,0.289277,0.292982,0.296433,0.299165,0.302044,0.305482,0.3095,0.313055,0.315551,0.318273,0.320801,0.323475,0.325152,0.326915,0.328805,0.330215,0.330295
2257,0.48028,0.467017,0.455285,0.445691,0.438009,0.431288,0.425062,0.417761,0.409338,0.400599,0.392497,0.384821,0.377281,0.370558,0.36452,0.358495,0.352015,0.344979,0.337351,0.330072,0.32365,0.317625,0.311541,0.305741,0.300522,0.296371,0.294149,0.294706,0.29757,0.301523,0.305822,0.310523,0.315391,0.319071,0.322776,0.326751,0.331011,0.336175,0.34216,0.34838,0.35445,0.359723,0.363711,0.368034,0.371476,0.372631,0.372165,0.369534,0.367046,0.363626
2315,0.413453,0.405841,0.399274,0.39286,0.389054,0.388484,0.389009,0.390215,0.391516,0.390194,0.385649,0.379075,0.371237,0.362581,0.353048,0.342399,0.330312,0.31741,0.306113,0.297388,0.293805,0.295258,0.299776,0.306061,0.312901,0.320543,0.327904,0.336349,0.345134,0.351749,0.356306,0.360876,0.363986,0.365647,0.365823,0.3672,0.370646,0.37312,0.374911,0.37522,0.376438,0.379214,0.380488,0.379079,0.377334,0.376081,0.373983,0.370027,0.365766,0.363042
2321,0.506086,0.500451,0.492157,0.482656,0.474596,0.468262,0.461961,0.456185,0.452887,0.451059,0.446635,0.439641,0.433398,0.427467,0.4188,0.408176,0.39905,0.39211,0.386036,0.377606,0.368727,0.360353,0.352138,0.345667,0.340148,0.335969,0.334444,0.332737,0.329224,0.325599,0.323718,0.322531,0.320278,0.317743,0.315852,0.314896,0.31433,0.314031,0.314025,0.314633,0.31553,0.315666,0.316166,0.317125,0.318896,0.32102,0.323559,0.327267,0.331968,0.335485
2332,0.483122,0.479114,0.475793,0.473495,0.471883,0.471265,0.471511,0.471614,0.470872,0.470019,0.468972,0.467565,0.465233,0.46285,0.460721,0.458594,0.455361,0.452172,0.44908,0.445775,0.440902,0.435373,0.429654,0.424304,0.419223,0.414796,0.411337,0.408853,0.40678,0.405431,0.405524,0.406287,0.406021,0.405,0.404252,0.403645,0.402316,0.400987,0.400255,0.399291,0.396608,0.392846,0.389038,0.385077,0.380987,0.377171,0.373763,0.370725,0.367673,0.36348
2333,0.466524,0.472749,0.481211,0.491089,0.501237,0.511395,0.521176,0.529695,0.535136,0.537076,0.537119,0.535912,0.532289,0.527083,0.522088,0.517856,0.514249,0.51085,0.507306,0.503276,0.498397,0.49225,0.485552,0.478914,0.472154,0.465673,0.459846,0.454267,0.449064,0.444535,0.439789,0.434201,0.427834,0.42151,0.415114,0.408034,0.400487,0.393011,0.385743,0.378073,0.370235,0.363141,0.356165,0.34824,0.339653,0.331689,0.324649,0.318362,0.311905,0.305497
2343,0.491241,0.483823,0.473453,0.460123,0.444946,0.428176,0.409957,0.390878,0.372652,0.356761,0.34497,0.336881,0.331066,0.329375,0.332814,0.339653,0.348209,0.357352,0.36634,0.374975,0.381112,0.383643,0.382896,0.380122,0.37644,0.371779,0.366219,0.360344,0.355256,0.350952,0.347071,0.343815,0.342053,0.342141,0.342968,0.343672,0.344925,0.34705,0.349577,0.35173,0.35339,0.355069,0.356545,0.356083,0.352757,0.347664,0.342478,0.338204,0.334669,0.33184
2351,0.444743,0.436714,0.428531,0.419478,0.412312,0.407114,0.403255,0.400585,0.398943,0.39873,0.400041,0.401432,0.400097,0.394448,0.38712,0.379625,0.371563,0.360995,0.349034,0.337895,0.328387,0.319102,0.311692,0.307232,0.306335,0.308455,0.313103,0.319728,0.327356,0.335623,0.343923,0.351413,0.359087,0.366995,0.375503,0.384993,0.393453,0.399977,0.406253,0.413916,0.422997,0.430987,0.433768,0.432886,0.431457,0.430515,0.428719,0.424,0.413446,0.400944
2409,0.380046,0.373802,0.36945,0.366278,0.362889,0.357845,0.352233,0.349315,0.351592,0.357115,0.365798,0.377714,0.393639,0.410484,0.424155,0.43162,0.433597,0.43119,0.427171,0.421263,0.414068,0.408319,0.403458,0.39658,0.389091,0.384896,0.384925,0.387858,0.391227,0.395094,0.397491,0.393201,0.383319,0.37448,0.369644,0.3668,0.363655,0.359115,0.356208,0.355313,0.354633,0.352362,0.3475,0.344523,0.343796,0.343421,0.341554,0.337821,0.334105,0.331714
2428,0.455597,0.445902,0.43731,0.430056,0.422553,0.41317,0.403369,0.39516,0.386147,0.376387,0.36615,0.357015,0.349927,0.345292,0.341293,0.336388,0.332391,0.330212,0.328405,0.324238,0.318869,0.314432,0.31272,0.313053,0.315345,0.31888,0.323996,0.331468,0.338769,0.341168,0.340036,0.338828,0.339314,0.338585,0.332306,0.323436,0.316726,0.315425,0.316714,0.316286,0.31639,0.315795,0.316367,0.31572,0.314448,0.315136,0.315846,0.315199,0.314616,0.313055
2606,0.45428,0.442602,0.432539,0.425467,0.421215,0.418351,0.416879,0.416408,0.416614,0.417705,0.419651,0.422089,0.425147,0.429354,0.433961,0.437523,0.440124,0.441319,0.440448,0.437332,0.431315,0.422719,0.411602,0.398537,0.384957,0.372271,0.360451,0.349307,0.338191,0.327071,0.316835,0.30764,0.2989,0.29032,0.283167,0.278704,0.275825,0.273812,0.273224,0.275216,0.277449,0.276884,0.275703,0.276715,0.279203,0.2815,0.282884,0.284965,0.288559,0.293
3004,0.487159,0.481455,0.475296,0.46979,0.465368,0.461102,0.452798,0.441384,0.429976,0.419381,0.408569,0.39644,0.384528,0.374641,0.36699,0.359675,0.352854,0.347727,0.34574,0.346452,0.347553,0.348222,0.347489,0.346034,0.342875,0.337201,0.331394,0.32703,0.324761,0.323418,0.321803,0.32032,0.31947,0.32022,0.321867,0.324016,0.327349,0.331315,0.334373,0.336008,0.336736,0.336883,0.33633,0.333878,0.329491,0.324143,0.317632,0.311717,0.307065,0.303049
3009,0.515119,0.506542,0.497649,0.486236,0.473876,0.46342,0.454211,0.445136,0.43503,0.425504,0.416742,0.406671,0.395979,0.386668,0.379994,0.375587,0.372788,0.369958,0.367835,0.366418,0.36416,0.361146,0.35769,0.354305,0.350324,0.344901,0.339593,0.335165,0.332797,0.331393,0.33091,0.331623,0.334465,0.337659,0.338845,0.339449,0.340386,0.339798,0.336131,0.332493,0.330658,0.329042,0.324267,0.319275,0.315147,0.312725,0.31016,0.308393,0.310141,0.314438
3010,0.408376,0.395489,0.383625,0.376895,0.372614,0.367586,0.364666,0.364503,0.364875,0.366027,0.369087,0.372481,0.371953,0.366936,0.359735,0.351807,0.342554,0.328935,0.30784,0.279595,0.251189,0.225717,0.205701,0.198798,0.209398,0.233201,0.258158,0.278332,0.291982,0.300933,0.309046,0.316884,0.318795,0.319077,0.32351,0.330178,0.335643,0.337546,0.336182,0.325655,0.314844,0.309228,0.313562,0.323442,0.329737,0.337426,0.345829,0.350184,0.347978,0.343892
3011,0.478451,0.462649,0.448017,0.434815,0.423529,0.41541,0.408439,0.401216,0.393601,0.384726,0.375236,0.365126,0.357286,0.353611,0.352625,0.352448,0.351474,0.350678,0.349196,0.343443,0.331834,0.319915,0.310406,0.30149,0.288553,0.277248,0.275182,0.280815,0.28894,0.301768,0.317103,0.330525,0.334395,0.33349,0.331361,0.329634,0.326245,0.323054,0.323115,0.325317,0.32629,0.320718,0.313069,0.309001,0.310166,0.310561,0.309275,0.308715,0.306721,0.300458
3013,0.375712,0.374644,0.37566,0.378411,0.382944,0.388812,0.39548,0.402128,0.407969,0.412579,0.41563,0.417111,0.416213,0.412905,0.407622,0.401178,0.393755,0.385463,0.376539,0.367084,0.35701,0.346753,0.336449,0.326864,0.318074,0.310257,0.302912,0.296476,0.29126,0.286401,0.281907,0.277285,0.27409,0.272712,0.272669,0.273342,0.274624,0.276731,0.279646,0.28267,0.285348,0.287179,0.28806,0.287927,0.286626,0.282812,0.277059,0.270203,0.263337,0.256944
3030,0.441807,0.430843,0.420145,0.409927,0.398334,0.385156,0.370822,0.355826,0.341466,0.328107,0.317493,0.309022,0.302407,0.2979,0.295027,0.292688,0.290767,0.289494,0.289722,0.290531,0.291639,0.292468,0.292937,0.292321,0.291492,0.290722,0.289105,0.285455,0.28203,0.279459,0.276527,0.272245,0.267302,0.262142,0.25678,0.2511,0.245958,0.243932,0.246207,0.251783,0.257917,0.262003,0.261469,0.25583,0.24816,0.242328,0.239891,0.239235,0.239145,0.238311
3057,0.504409,0.490912,0.471576,0.450398,0.428872,0.408379,0.39031,0.375619,0.364848,0.355317,0.345881,0.338244,0.332714,0.32916,0.328152,0.327579,0.327023,0.32587,0.323138,0.317869,0.313448,0.309085,0.305252,0.302685,0.302017,0.302259,0.303414,0.30388,0.302963,0.30001,0.297378,0.294155,0.290362,0.287741,0.285948,0.285477,0.285019,0.282538,0.277593,0.273337,0.271766,0.272179,0.275149,0.281917,0.292152,0.30213,0.30912,0.314921,0.316035,0.311607
3069,0.445364,0.439308,0.43345,0.428984,0.425449,0.418428,0.409318,0.401111,0.394912,0.388619,0.381483,0.37537,0.371478,0.367908,0.360397,0.350421,0.340803,0.331876,0.322968,0.313633,0.305391,0.299194,0.295103,0.293161,0.292358,0.29332,0.296285,0.300751,0.304095,0.305772,0.307035,0.308033,0.30817,0.306618,0.30549,0.305706,0.306679,0.30527,0.300699,0.295845,0.29114,0.283577,0.269602,0.255623,0.24494,0.237293,0.232258,0.231432,0.235758,0.243232
3072,0.406804,0.405165,0.40466,0.403746,0.401976,0.400062,0.397927,0.394775,0.388737,0.381026,0.373052,0.365109,0.35694,0.349074,0.342332,0.336379,0.33084,0.325969,0.322162,0.318744,0.315212,0.311388,0.307082,0.301919,0.295857,0.289321,0.282716,0.276762,0.271685,0.267552,0.264479,0.262654,0.261515,0.260057,0.258835,0.257747,0.256619,0.254818,0.252408,0.250688,0.250734,0.252607,0.255921,0.2607,0.266303,0.270934,0.273067,0.272773,0.271031,0.269056
3075,0.364027,0.357303,0.349417,0.342601,0.337458,0.335503,0.337109,0.341415,0.347071,0.352835,0.359521,0.368364,0.378696,0.389642,0.400458,0.411732,0.419927,0.420717,0.417721,0.413143,0.405971,0.398142,0.392345,0.388859,0.385403,0.380795,0.376007,0.370996,0.363969,0.356506,0.35001,0.346511,0.34835,0.355107,0.363301,0.371209,0.378568,0.384808,0.387549,0.38684,0.386639,0.386867,0.384382,0.374067,0.362052,0.352101,0.344401,0.336904,0.329365,0.32313
3077,0.349279,0.331691,0.32027,0.313882,0.310268,0.307199,0.304486,0.302479,0.300019,0.297627,0.298188,0.303257,0.312626,0.323487,0.333018,0.338843,0.341751,0.343429,0.34296,0.339563,0.333228,0.323906,0.312634,0.301829,0.291398,0.281507,0.274017,0.271793,0.276642,0.286035,0.294987,0.304997,0.315537,0.327393,0.337259,0.347993,0.358092,0.369243,0.377696,0.385381,0.386845,0.38591,0.382431,0.378145,0.375382,0.376791,0.381507,0.387628,0.391907,0.393766
